Number,Family,Binomial,Wood_density,Region,Reference_number,our_samples,Genus,Species,
159,Fabaceae,Acacia melanoxylon,0.389,Oceania,203,,Acacia,melanoxylon,
160,Fabaceae,Acacia melanoxylon,0.416,Oceania,203,,Acacia,melanoxylon,
161,Fabaceae,Acacia melanoxylon,0.637,Australia,203,,Acacia,melanoxylon,
162,Fabaceae,Acacia melanoxylon,0.555,Australia,90,,Acacia,melanoxylon,
163,Fabaceae,Acacia melanoxylon,0.559,Australia,90,,Acacia,melanoxylon,
164,Fabaceae,Acacia melanoxylon,0.551,Australia/PNG (tropical),90,,Acacia,melanoxylon,
165,Fabaceae,Acacia mellifera,0.947,Africa (extratropical),72,,Acacia,mellifera,
166,Fabaceae,Acacia modesta,0.835,India,135,,Acacia,modesta,
167,Fabaceae,Acacia murrayana,0.519,Australia,90,,Acacia,murrayana,
168,Fabaceae,Acacia nilotica,0.654,Australia,63,,Acacia,nilotica,
169,Fabaceae,Acacia nilotica,0.689,Australia,202,,Acacia,nilotica,
170,Fabaceae,Acacia nilotica,0.827,Australia,72,,Acacia,nilotica,
171,Fabaceae,Acacia omalophylla,1.063,Australia/PNG (tropical),90,,Acacia,omalophylla,
172,Fabaceae,Acacia omalophylla,1.063,Australia/PNG (tropical),90,,Acacia,omalophylla,
173,Fabaceae,Acacia oraria,0.920,Australia/PNG (tropical),129,,Acacia,oraria,
174,Fabaceae,Acacia oshanesii,0.771,Australia/PNG (tropical),90,,Acacia,oshanesii,
175,Fabaceae,Acacia oshanesii,0.771,Australia/PNG (tropical),90,,Acacia,oshanesii,
176,Fabaceae,Acacia oswaldii,0.976,Australia,90,,Acacia,oswaldii,
177,Fabaceae,Acacia pachycarpa,0.870,Australia,90,,Acacia,pachycarpa,
178,Fabaceae,Acacia pallidifolia,0.680,Australia,90,,Acacia,pallidifolia,
179,Fabaceae,Acacia papyrocarpa,1.073,Australia,90,,Acacia,papyrocarpa,
180,Fabaceae,Acacia papyrocarpa,0.887,Australia,90,,Acacia,papyrocarpa,
181,Fabaceae,Acacia papyrocarpa,0.966,Australia,90,,Acacia,papyrocarpa,
182,Fabaceae,Acacia pellita,0.670,Australia,90,,Acacia,pellita,
183,Fabaceae,Acacia pendula,0.994,Australia/PNG (tropical),90,,Acacia,pendula,
184,Fabaceae,Acacia penninervis,0.605,Australia,90,,Acacia,penninervis,
185,Fabaceae,Acacia penninervis,0.668,Australia,90,,Acacia,penninervis,
186,Fabaceae,Acacia peuce,1.227,Australia/PNG (tropical),90,,Acacia,peuce,
187,Fabaceae,Acacia podalyriifolia,0.680,Australia,129,,Acacia,podalyriifolia,
188,Fabaceae,Acacia polyacantha,0.671,Australia,137,,Acacia,polyacantha,
189,Fabaceae,Acacia polyacantha,0.607,Australia,72,,Acacia,polyacantha,
190,Fabaceae,Acacia polyphylla,0.790,South America (tropical),114,,Acacia,polyphylla,
191,Fabaceae,Acacia polyphylla,0.637,South America (tropical),57,,Acacia,polyphylla,
192,Fabaceae,Acacia polyphylla,0.600,South America (tropical),77,,Acacia,polyphylla,
193,Fabaceae,Acacia polyphylla,0.490,South America (tropical),44,,Acacia,polyphylla,
194,Fabaceae,Acacia praecox,0.765,South America (extratropical),66,,Acacia,praecox,
195,Fabaceae,Acacia pruinocarpa,0.981,Australia,90,,Acacia,pruinocarpa,
196,Fabaceae,Acacia pruinocarpa,0.897,Australia,90,,Acacia,pruinocarpa,
197,Fabaceae,Acacia pubescens,0.600,Australia,38,,Acacia,pubescens,
198,Fabaceae,Acacia pubescens,0.587,Australia,90,,Acacia,pubescens,
199,Fabaceae,Acacia pubescens,0.664,Australia,90,,Acacia,pubescens,
200,Fabaceae,Acacia quadrimarginea,0.922,Australia,90,,Acacia,quadrimarginea,
201,Fabaceae,Acacia ramulosa,1.007,Australia,90,,Acacia,ramulosa,
202,Fabaceae,Acacia resinimarginea,0.996,Australia,90,,Acacia,resinimarginea,
203,Fabaceae,Acacia rhodoxylon,1.102,Australia/PNG (tropical),90,,Acacia,rhodoxylon,
204,Fabaceae,Acacia richii,0.700,South America (tropical),136,,Acacia,richii,
205,Fabaceae,Acacia robusta,0.732,Africa (extratropical),72,,Acacia,robusta,
206,Fabaceae,Acacia salicina,0.581,Australia/PNG (tropical),90,,Acacia,salicina,
207,Fabaceae,Acacia sclerosperma,0.860,Australia,90,,Acacia,sclerosperma,
208,Fabaceae,Acacia shirleyi,1.020,Australia/PNG (tropical),90,,Acacia,shirleyi,
209,Fabaceae,Acacia shirleyi,1.000,Australia,90,,Acacia,shirleyi,
210,Fabaceae,Acacia shirleyi,0.856,Australia/PNG (tropical),90,,Acacia,shirleyi,
211,Fabaceae,Acacia shirleyi,0.904,Australia,90,,Acacia,shirleyi,
212,Fabaceae,Acacia sibilans,0.970,Australia,90,,Acacia,sibilans,
213,Fabaceae,Acacia spectabilis,0.766,Australia/PNG (tropical),90,,Acacia,spectabilis,
214,Fabaceae,Acacia stenophylla,0.775,Australia,90,,Acacia,stenophylla,
215,Fabaceae,Acacia stenophylla,0.827,Australia/PNG (tropical),90,,Acacia,stenophylla,
216,Fabaceae,Acacia stenophylla,0.690,Australia,90,,Acacia,stenophylla,
217,Fabaceae,Acacia stipuligera,0.810,Australia,90,,Acacia,stipuligera,
218,Fabaceae,Acacia subtessarogona,1.097,Australia,90,,Acacia,subtessarogona,
219,Fabaceae,Acacia suma,1.210,India,26,,Acacia,suma,
220,Fabaceae,Acacia tenuifolia,0.490,South America (tropical),44,,Acacia,tenuifolia,
221,Fabaceae,Acacia tetragonophylla,0.874,Australia,90,,Acacia,tetragonophylla,
222,Fabaceae,Acacia tetragonophylla,1.002,Australia,90,,Acacia,tetragonophylla,
223,Fabaceae,Acacia tomentosa,0.510,South-East Asia (tropical),129,,Acacia,tomentosa,
224,Fabaceae,Acacia trinervata,0.758,Australia/PNG (tropical),90,,Acacia,trinervata,
