ORDER,Fixer,GENUS$,SPECIES$,Species.Name,FAMILY$,WSG,SEEDMASS,HEIGHT,LMA,RGR95SAP,RGR90SAP,RGRAVGSAP,N_RGRSAP,MRT25SAP,MRT50SAP,MRTALLSAP,N_MRTALLSAP,RGR95TRE,RGR90TRE,RGRAVGTRE,N_RGRTRE,MRT25TRE,MRT50TRE,MRTALLTRE,N_MRTALLTRE
105,n,Cassipourea,elliptica,Cassipourea elliptica,Rhizophorace,0.66,0.003657,24,75.4,0.112,0.086,0.032,3399,9.4,8.5,5.8,2674,0.043,0.036,0.0169,356,17.6,14.6,9.1,275
106,n,Alibertia,edulis,Alibertia edulis,Rubiaceae,0.788,0.012025,10.1,60.4,0.104,0.083,0.026,1385,16.9,15.9,12.2,1118,-99,-99,-99,-99,-99,-99,-99,-99
107,n,Alseis,blackiana,Alseis blackiana,Rubiaceae,0.578,0.000049,28.6,39.6,0.105,0.075,0.022,26967,19.9,18.4,14.1,22003,0.042,0.032,0.012,4124,6.9,4.1,2.6,3195
108,n,Coussarea,curvigemmia,Coussarea curvigemmia,Rubiaceae,0.622,0.018453,12.9,45.3,0.119,0.091,0.035,6664,16.2,13.5,9.6,5233,0.027,0.024,0.0083,233,15.9,15.9,13.5,178
109,n,Faramea,occidentalis,Faramea occidentalis,Rubiaceae,0.609,0.193216,15.7,63.7,0.122,0.098,0.04,82728,13.3,10.4,7.2,66503,0.027,0.022,0.0081,6896,27.4,21.3,14.2,5337
110,n,Guettarda,foliacea,Guettarda foliacea,Rubiaceae,0.618,-99,10.6,38.5,0.119,0.092,0.034,863,20.7,19.1,12.9,744,0.033,0.022,0.0046,353,8.3,12.3,10.5,294
111,n,Palicourea,guianensis,Palicourea guianensis,Rubiaceae,0.32,0.007087,6.2,42.4,0.274,0.236,0.114,1344,87.5,88,83.6,1150,-99,-99,-99,-99,-99,-99,-99,-99
112,n,Pentagonia,macrophylla,Pentagonia macrophylla,Rubiaceae,0.454,0.004479,6.1,65.2,0.098,0.065,0.019,1593,29.9,26.7,22.1,1371,-99,-99,-99,-99,-99,-99,-99,-99
113,n,Randia,armata,Randia armata,Rubiaceae,0.643,0.085212,11.3,46.4,0.106,0.081,0.03,2696,18.9,17.1,12.2,2243,0.026,0.02,0.0069,1088,16.2,13.1,9.6,871
114,n,Zanthoxylum,acuminatum,Zanthoxylum acuminatum,Rutaceae,0.579,-99,23.2,68.6,0.206,0.167,0.063,393,34.7,31,22.9,350,0.068,0.052,0.0218,131,69.2,53.8,32.1,106
115,n,Zanthoxylum,ekmanii,Zanthoxylum ekmanii,Rutaceae,0.435,-99,31.1,52.3,-99,-99,-99,-99,-99,-99,-99,-99,0.131,0.11,0.0464,529,37.5,23.9,16.9,419
116,n,Zanthoxylum,panamense,Zanthoxylum panamense,Rutaceae,0.552,0.0013,28.2,38.4,0.202,0.132,0.049,354,51.9,53,35.3,329,0.072,0.062,0.0261,288,39.7,28.2,18.6,236
117,n,Cupania,seemannii,Cupania seemannii,Sapindaceae,0.665,0.120431,13,54.8,0.118,0.093,0.033,3798,17.2,15.2,11,3021,0.038,0.032,0.0061,161,3.4,3.4,2.5,119
118,n,Talisia,nervosa,Talisia nervosa,Sapindaceae,0.663,0.353484,7.6,81.2,0.073,0.055,0.018,3392,8,7.2,6.3,2762,-99,-99,-99,-99,-99,-99,-99,-99
119,n,Talisia,princeps,Talisia princeps,Sapindaceae,0.725,0.4635,11.8,69.3,0.088,0.064,0.021,2451,14.8,13.9,14,1982,-99,-99,-99,-99,-99,-99,-99,-99
120,n,Chrysophyllu,argenteum,Chrysophyllu argenteum,Sapotaceae,0.736,0.07511,23.2,64.5,0.13,0.091,0.03,1932,19,16.2,12.5,1493,0.038,0.032,0.01,367,20.3,14.9,8.4,298
121,n,Pouteria,reticulata,Pouteria reticulata,Sapotaceae,0.761,-99,32,50.7,0.104,0.079,0.025,5126,28.1,26.4,21.3,4365,0.063,0.052,0.0231,793,12.9,8.7,5.1,622
122,n,Pouteria,stipitata,Pouteria stipitata,Sapotaceae,-99,0.777521,22.4,58.6,-99,-99,-99,-99,-99,-99,-99,-99,0.041,0.027,0.0111,143,7.1,5.3,4.3,115
123,n,Picramnia,latifolia,Picramnia latifolia,Simaroubacea,0.699,0.025705,12.5,58.7,0.104,0.08,0.026,3884,25.5,23.3,17.9,3200,0.038,0.03,0.0104,174,31.4,28.2,16.8,143
124,n,Quassia,amara,Quassia amara,Simaroubacea,0.527,0.15068,7.3,53.3,0.097,0.067,0.024,377,11.7,10.3,7.6,314,-99,-99,-99,-99,-99,-99,-99,-99
125,n,Simarouba,amara,Simarouba amara,Simaroubacea,0.39,0.11114,30.1,42.7,0.216,0.164,0.065,2679,47.8,41.6,32,2169,0.078,0.063,0.0293,1089,30.9,26.4,20,881
126,n,Cestrum,megalophyllu,Cestrum megalophyllu,Solanaceae,0.424,0.009621,6.1,51.5,0.16,0.12,0.042,430,65,64.2,53.5,404,-99,-99,-99,-99,-99,-99,-99,-99
